NUMBER,TEXT,A,B,C,D,E
79,Does the Year-End Report explain the differences between the enacted levels (including in-year changes approved by the legislature) and the actual outcome for expenditures?,"Yes, an extensive explanation of the differences is presented, including both a narrative discussion and quantitative estimates.","Yes, an explanation is presented, highlighting key differences, but some details are excluded.","Yes, some explanation is presented, but it lacks important details.","No, an explanation is not presented, or a Year-End Report is not released.",Not applicable/other (please comment).
80,What level of detail is the focus of the explanation of the differences between the enacted levels and the actual outcome for expenditures presented in the Year-End Report?,The explanation of the differences between the enacted expenditure levels and the actual outcome focuses on the program level., The explanation focuses on departmental totals (or functional totals) or some lower level of detail (but not the program level in all cases).,The explanation focuses on a higher level of aggregation than departmental totals (or functional totals).,"No explanation of the differences is provided, or a Year-End Report is not released.",Not applicable/other (please comment).
81,Does the Year-End Report explain the differences between the enacted levels (including in-year changes approved by the legislature) and the actual outcome for revenues?,"Yes, an extensive explanation of the differences is presented, including both a narrative discussion and quantitative estimates."," Yes, an explanation is presented, highlighting key differences, but some details are excluded."," Yes, some explanation is presented, but it lacks important details.","No, an explanation is not presented, or a Year-End Report is not released.",Not applicable/other (please comment).
82, Does the Year-End Report explain the differences between the original macroeconomic forecast for the fiscal year and the actual outcome for that year?," Yes, an extensive explanation of the differences is presented, including both a narrative discussion and quantitative estimates.","Yes, an explanation is presented, highlighting key differences, but some details are excluded.","Yes, some explanation is presented, but it lacks important details.","No, an explanation is not presented, or a Year-End Report is not released.",Not applicable/other (please comment).
83,Does the Year-End Report explain the differences between the original estimates of nonfinancial data and the actual outcome?,"Yes, an extensive explanation of the differences is presented, including both a narrative discussion and quantitative estimates.","Yes, an explanation is presented, highlighting key differences, but some details are excluded.","Yes, some explanation is presented, but it lacks important details."," No, an explanation is not presented, or a Year-End Report is not released.",Not applicable/other (please comment).
84,Does the Year-End Report explain the differences between the original performance indicators and the actual outcome?,"Yes, an extensive explanation of the differences is presented, including both a narrative discussion and quantitative estimates.","Yes, an explanation is presented, highlighting key differences, but some details are excluded."," Yes, some explanation is presented, but it lacks important details.","No, an explanation is not presented, or a Year-End Report is not released.",Not applicable/other (please comment).
85,Does the Year-End Report explain the differences between the enacted level of funds intended to benefit directly the country’s most impoverished populations and the actual outcome?,"Yes, an extensive explanation of the differences is presented, including both a narrative discussion and quantitative estimates.","yes, an explanation is presented, highlighting key differences, but some details are excluded.","Yes, some explanation is presented, but it lacks important details.","No, an explanation is not presented, or a Year-End Report is not released.",Not applicable/other (please comment).
86,Does the Year-End Report present the actual outcome for extra-budgetary funds?,"Yes, extensive information on the actual outcome for extra-budgetary funds is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting key issues, but some details are excluded.","Yes, some information is presented, but it lacks important details."," No, information is not presented on extra-budgetary funds, or a Year-End Report is not released.",Not applicable/other (please comment).
87,How long after the end of the fiscal year are the final annual expenditures of national departments audited and the results of the audits (except for secret programs) released to the public?,Final audited accounts are released to the public six months or less after the end of the fiscal year.,Final audited accounts are released 12 months or less (but more than six months) after the end of the fiscal year.," Final audit accounts are released more than 12 months, but within 24 months, of the end of the fiscal year.","Final audited accounts are not completed within 24 months after the end of the fiscal year, or they are not released to the public.",Not applicable/other (please comment).
88,"Two years after the end of a fiscal year, what percentage of annual expenditures has been audited and included in (except for secret programs) the Audit Report(s) released to the public?",All expenditures have been audited and the Audit Report(s) released to the public.," Expenditures representing at least two-thirds of, but not all, expenditure have been audited and the Audit Report(s) released to the public.", Expenditure representing less than two-thirds of expenditure has been audited and the Audit Report(s) released to the public.,"No expenditures have been audited, the reports have not been released to the public or were released more than 24 months after the end of the fiscal year.",Not applicable/other (please comment).
89,Does the annual Audit Report(s) that is released to the public include an executive summary?, The annual Audit Report(s) includes one or more executive summaries summarizing the report’s content.,"No, the Audit Report(s) does not include an executive summary, or such reports are not released to the public, or were released more than 24 months after the end of the fiscal year.",Not applicable/other (please comment).,,
90,Must a branch of government other than the executive (such as the legislature or the judiciary) give final consent before the head of the supreme audit institution (SAI) can be removed from office? ,"Yes, the head of the SAI may only be removed by the legislature or judiciary, or the legislature or judiciary must give final consent before he or she is removed. ","No, the executive may remove the head of the SAI without the final consent of the judiciary or legislature. ",Not applicable/other (please comment). ,,
91,Does the supreme audit institution (SAI) release to the public audits of extra-budgetary funds?,"Yes, the SAI releases to the public audits of all extra-budgetary funds."," Yes, the SAI releases audits representing at least two-thirds of, but not all, extra-budgetary funds.","Yes, the SAI releases audits representing less than two-thirds of all extra-budgetary funds.","No, the SAI does not release to the public audits of extra-budgetary funds, or it does not audit such funds, or such a report was released more than 24 months after the end of the fiscal year.",Not applicable/other (please comment). 
92,"Beyond the established year-end attestation audits, does the supreme audit institution (SAI) have the discretion in law to undertake those audits it may wish to? ",The SAI has full discretion to decide which audits it wishes to undertake. ,"The SAI has significant discretion, but faces some limitations. ","The SAI has some discretion, but faces considerable limitations. ",The SAI has no discretion to decide which audits it wishes to undertake. ,Not applicable/other (please comment). 
93,Who determines the budget of the supreme audit institution (SAI)? ,"The budget of the SAI is determined by the legislature or judiciary (or some independent body), and the funding level is broadly consistent with the resources the SAI needs to fulfill its mandate.","The budget of the SAI is determined by the executive, and the funding level is broadly consistent with the resources the SAI needs to fulfill its mandate.","The budget of the SAI is determined by the legislature or judiciary (or some independent body), but the funding level is not consistent with the resources the SAI needs to fulfill its mandate.","The budget of the SAI is determined by the executive, but the funding level is not consistent with the resources the SAI needs to fulfill its mandate.",Not applicable/other (please comment). 
94,"Does the supreme audit institution (SAI) employ designated staff to undertake audits of the central government agencies pertaining to the security sector (military, police, intelligence services)?","The SAI employs designated staff, and the staffing levels are broadly consistent with the resources the SAI needs to fulfill its mandate.","The SAI employs designated staff, but the staffing levels are a cause of some constraints to the SAI in fulfilling its mandate.","The SAI employs designated staff, but the staffing levels pose a significant constraint on the SAI in fulfilling its mandate.","The SAI does not employ designated staff for auditing of the security sector, or does not undertake audits of the security sector.",Not applicable/other (please comment). 
95,Does the executive make available to the public a report on what steps it has taken to address audit recommendations or findings that indicate a need for remedial action?," Yes, the executive reports publicly on what steps it has taken to address audit findings.","Yes, the executive reports publicly on most audit findings."," Yes, the executive reports publicly on some audit findings."," No, the executive does not report on steps it has taken to address audit findings.",Not applicable/other (please comment). 
96,"Are Audit Reports of the annual accounts of the security sector (military, police, intelligence services) and other secret programs provided to the legislature (or relevant committee)?","Yes, legislators are provided with detailed Audit Reports related to the security sector and other secret programs.","Yes, legislators are provided Audit Reports on secret items, but some details are excluded."," Yes, legislators are provided Audit Reports on secret items, but they lack important details.","No, legislators are not provided Audit Reports on secret items, or secret programs are not audited (please specify).",Not applicable/other (please comment). 
97,Does the legislature have internal capacity to conduct budget analyses or access to independent research capacity for such analyses? ,"Yes, there is a specialized budget research office/unit attached to the legislature, and it has sufficient staffing, resources, and analytical capacity to carry out its tasks."," Yes, there is a specialized budget research office, but its staffing and other resources, including adequate funding, are insufficient to carry out its tasks.","No, there is no specialized office attached to the legislature, but there is an external research body which can perform budget analyses.","No, the legislature has neither internal capacity nor access to independent research capacity for budget analyses.",Not applicable/other (please comment). 
98,Does the legislature formally debate the overall budget policy prior to the tabling of the Executive’s Budget Proposal?," Yes, there is a formal pre-budget policy debate in the legislature prior to the tabling of the Executive’s Budget Proposal, and there are mechanisms in place to make sure that proposed changes that result from the debate are incorporated into the budget proposal.","Yes, there is a formal pre-budget policy debate in the legislature prior to the tabling of the Executive’s Budget Proposal, but the executive is not obliged to make any changes in proposed policies as a result of the debate.","There is no formal pre-budget policy debate, but legislators discuss specific policies in committee sessions prior to the introduction of the Executive’s Budget Proposal. ","There is no formal discussion of the overall budget policy, neither before nor following the tabling of the Executive’s Budget Proposal.",Not applicable/other (please comment). 
99,How far in advance of the start of the budget year does the legislature receive the Executive’s Budget Proposal?,The legislature receives the Executive’s Budget Proposal at least three months before the start of the budget year.,"The legislature receives the Executive’s Budget Proposal at least six weeks, but less than three months, before the start of the budget year.",The legislature receives the Executive’s Budget Proposal less than six weeks before the start of the budget year., The legislature does not receive the Executive’s Budget Proposal before the start of the budget year.,Not applicable/other (please comment). 
100,Does the legislature have the authority in law to amend the Executive’s Budget Proposal?,"Yes, the legislature has unlimited authority in law to amend the Executive’s Budget Proposal."," Yes, the legislature has authority in law to amend the Executive’s Budget Proposal, with some limitations."," Yes, the legislature has authority in law to amend the Executive’s Budget Proposal, but its authority is very limited.","No, the legislature does not have any authority in law to amend the Executive’s Budget Proposal.",Not applicable/other (please comment). 
101,What is the highest level of detail provided for appropriations (expenditure budget) in the Enacted Budget approved by the legislature?,The Enacted Budget includes program-level detail.,"The Enacted Budget includes information on administrative units and some additional details (for instance, subdepartment totals or major programs).",The Enacted Budget includes details only for administrative units.,"The Enacted Budget includes less information than that for administrative units (same as departmental totals, but maybe clearer) or the Enacted Budget is not released to the public. ",Not applicable/other (please comment). 
102,Is the executive required by law or regulation to seek input from the legislature when it shifts funds between administrative units that receive explicit funding through the annual budget?,"Yes, the executive must seek ex ante approval from the legislature before shifting funds between administrative units."," Yes, the executive must give prior notification to the legislature before shifting funds, giving the legislature an opportunity to block or modify the proposed adjustment within a predetermined timeframe, beyond which the shift of funds occurs without legislative approval. ","Yes, the executive must seek legislative ex post approval, after the shift of funds has been implemented.","No, the executive can shift funds between administrative units without seeking input from the legislature, or the amount of funds it can shift without legislative approval  under the law is significantly large enough as to undermine public scrutiny and accountability (please describe arrangements below).",Not applicable/other (please comment). 
103,Is the executive required seek input from the legislature when it shifts funds between line items (except when the amounts are below a certain minimal level specified in law or regulation)? ,The executive is required to obtain legislative approval for every shift of funds between budget lines.,"The executive is required to obtain legislative approval for most shifts between budget lines, but there are legal provisions that delegate power to the government to decide on the extent to which spending ministries can shift funds within the detailed budget. ","Only shifts between a few large categories of appropriations require prior legislative approval, but the legislature is given the opportunity to block or modify other proposed adjustments that do not require prior approval.",The executive can shift funds between line items without any restrictions.,Not applicable/other (please comment). 
104,What legal or regulatory restrictions are in place on the executive’s discretion to spend excess revenue that may become available during the budget execution period? ,"When actual revenues are higher than projected in the Enacted Budget, the executive is required by law or regulation to submit a supplementary budget to the legislature for approval prior to spending the funds.","When actual revenues are higher than projected in the Enacted Budget, the executive has been authorized by the legislature to spend them only on specified items (e.g., to reduce the public debt).","When actual revenues are higher than projected in the Enacted Budget, the executive is required by law or regulations to secure legislative approval to spend the funds, but in practice it uses various means to bypass this requirement (e.g., through an off-budget fund).","When actual revenues are higher than projected in the Enacted Budget, there are no legal or regulatory restrictions on the executive’s use of the funds.",Not applicable/other (please comment). 
105, When does the legislature typically approve supplemental budgets?, Supplemental budgets are approved before the funds are expended. ,"Supplemental budgets are approved after the funds are expended, or the executive implements supplemental budgets without ever receiving approval from the legislature (please specify).", Not applicable/other (please comment).,,
106,When does the legislature approve the expenditure of contingency funds or other funds for which no specific purpose was identified in the Enacted Budget?,"Expenditures are approved before the funds are spent, or contingency funds or other funds with no specific purposes are not included in the Enacted Budget.","Expenditures are approved after the funds are spent, but before the end of the fiscal year."," Expenditures are approved after the end of the fiscal year, for example, in the next Enacted Budget.",Such expenditure takes place without legislative approval,Not applicable/other (please comment). 
107,Does a committee of the legislature view and scrutinize the audit reports?,"Yes, all audit reports are scrutinized."," Yes, most audit reports are scrutinized.","Yes, some audit reports are scrutinized.","No, audit reports are not scrutinized.",Not applicable/other (please comment). 
108,Does either the supreme audit institution or legislature release to the public a report that tracks actions taken by the executive to address audit recommendations?,"Yes, a comprehensive report is released regularly that tracks actions taken by the executive to address audit recommendations."," Yes, a report is released, covering key audit recommendations, but some details are excluded."," Yes, a report is released, but it lacks important details.","No, a report is not produced, or it is prepared for internal purposes only (please specify).",Not applicable/other (please comment). 
109,What is the most detail provided by the Citizens Budget?,"The Citizens Budget includes information on all the following six topics: 1) budget process, 2) revenue collection, 3) priority spending and allocations, 4) sector specific information and targeted programs, 5) contact information for follow up by citizens; and 6) economic assumptions.",The Citizens Budget includes information on at least four of the six topics described above., The Citizens Budget includes information on at least two of the six topics described above.,"The Citizens Budget is not sufficiently detailed (it includes at most one of the six topics described above), or a Citizens Budget is not published (non-existent).",Not applicable/other (please comment). 
110,How is the Citizens Budget disseminated to the public?,"A Citizens Budget is disseminated widely through a combination of at least three different appropriate tools and media (such as the Internet, billboards, radio programs, newspapers, etc.).","A Citizens Budget is published by using at least two, but less than three, means of dissemination, but no other dissemination efforts are undertaken by the executive.", A Citizens Budget is disseminated only by using one means.,A Citizens Budget is not published.,Not applicable/other (please comment). 
111,Are the public’s priorities on budget information taken into consideration by the executive while drafting the Citizens Budget?,"The executive widely consults with the public, with many different stakeholders and using many different means, to identify its informational requirements prior to publishing a Citizens Budget. ","The executive undertakes consultations with the different stakeholders to identify its informational requirements prior to publishing a Citizens Budget, but it uses a single means.","The executive undertakes limited consultations with the public, i.e., one set of experts, to identify its informational requirements prior to publishing a Citizens Budget.","The executive does not consult with the citizens before publishing a Citizens Budget, or a Citizens Budget is not published.",Not applicable/other (please comment). 
112,Are Citizens Budget throughout the budget process?,"Citizens Budgets are published at each of the four stages of the budget process (budget formulation, enactment, execution, and audit).",Citizens Budgets are published for at least two of the four stages of the budget process.,Citizens Budgets are published for at least one stage of the budget process,A Citizens Budget is not published.,Not applicable/other (please comment). 
113,"Does the executive make available to the public accessible, nontechnical definitions of terms used in the budget and other budget-related documents (for instance, in a glossary)? ","Yes, clear and detailed definitions of budget terms are provided. ","Yes, definitions are provided, but some details are excluded. ","Yes, some definitions are provided, but it lacks important details. ","No, definitions are not provided. ",Not applicable/other (please comment). 
114,Is the executive formally required to engage with the public during the budget process? ,"Yes, a law, a regulation, or a formal procedural obligation requires the executive to engage with the public during both the budget formulation and the budget execution processes. ","Yes, a law, a regulation, or a formal procedural obligation requires the executive to engage with the public during one of either the budget formulation or the budget execution processes but not both.","No, no formal requirement exists requiring the executive to engage with the public during either the budget formulation or execution processes, but informal procedures exist to enable the public to engage with the budget formulation or execution processes. ","No, no formal requirement exists and the executive does not engage with the public during the budget process. ",Not applicable/other (please comment). 
115,"Does the executive clearly, and in a timely manner, articulate its purpose for engaging the public during the budget formulation and execution processes? ","Yes, the executive clearly identifies what it hopes to achieve from its public engagement mechanisms during the budget process and publicizes this information well in advance of each public engagement. ","Yes, the executive identifies what it hopes to achieve from each of its public engagement mechanisms and publicizes this information well in advance of each public engagement, but some of the stated objectives are vague; or the executive identifies what it hopes to achieve from some but not all of its public engagement mechanisms and publicizes this information well in advance of the public engagement. "," Yes, the executive identifies and publicizes what it hopes to achieve from some of its public engagement mechanisms, but this information is not provided to the public in a timely manner prior to the engagement process. ","No, the executive does not identify the purposes for engaging the public during the budget process, or the executive does not engage with the public during the budget process. ",Not applicable/other (please comment). 
116,Has the executive established practical and accessible mechanisms to identify the public’s perspective on budget priorities?,"Yes, the executive has established appropriate mechanisms to identify the public’s perspective on budget priorities, and these mechanisms are accessible in practice to a majority of the public. "," Yes, the executive has established appropriate mechanisms to identify the public’s perspective on budget priorities, but these mechanisms are accessible in practice only to some but not to a majority of the public. ","Yes, the executive has established some mechanisms to identify the public’s perspective on budget priorities, but these mechanisms are not effective or practical or are not accessible in practice to a majority of the public. ","No, the executive has not established any mechanisms to identify the public’s perspective on budget priorities. ",Not applicable/other (please comment).
117,Has the executive established practical and accessible mechanisms to identify the public’s perspective on budget execution?,"Yes, the executive has established appropriate mechanisms to identify the public’s perspective on budget execution, and these mechanisms are accessible in practice to a majority of the public. ","Yes, the executive has established appropriate mechanisms to identify the public’s perspective on budget execution, and these mechanisms are accessible in practice to some but not to a majority of the public. ","Yes, the executive has established some mechanisms to identify the public’s perspective on budget execution, but these mechanisms are not effective or practical or are not accessible in practice to the public. ","No, the executive has not established any mechanisms to identify the public’s perspective on budget execution. ",Not applicable/other (please comment).
118,"Does the executive provide formal, detailed feedback to the public on how its inputs have been used to develop budget plans and improve budget execution?","Yes, the executive issues extensive, detailed reports on the inputs and comments it received from the public and how it used this information to develop its budget plans and improve budget execution."," Yes, the executive issues extensive, detailed reports on the inputs and comments it received from the public and how it used this information either to develop its budget plans or improve budget execution but not both.","Yes, the executive issues only limited reports that provide inadequate feedback on how it has used inputs from the public to develop its budget plans or to improve budget execution. "," No, the executive does not issue reports on the inputs it received from the public through public consultations, or it does not engage with the public during the budget process. ",Not applicable/other (please comment).
119,Does a legislative committee (or committees) hold public hearings on the macroeconomic and fiscal framework presented in the budget in which testimony from the executive branch and the public is heard?,"Yes, public hearings are held on the macroeconomic and fiscal framework in which testimony is heard from the executive branch and a wide range of constituencies.","Yes, public hearings are held in which testimony is heard from the executive branch and some constituencies."," Yes, public hearings are held in which testimony from the executive branch is heard, but no testimony from the public is heard.","No, public hearings are not held on the macroeconomic and fiscal framework in which testimony from the executive branch and the public is heard.",Not applicable/other (please comment).
120,"Do legislative committees hold public hearings on the individual budgets of central government administrative units (i.e., ministries, departments, and agencies) in which testimony from the executive branch is heard?","Yes, extensive public hearings are held on the budgets of administrative units in which testimony from the executive branch is heard.","Yes, public hearings are held, covering key administrative units, in which testimony from the executive branch is heard."," Yes, a limited number of public hearings are held in which testimony from the executive branch is heard.","No, public hearings are not held on the budgets of administrative units in which testimony from the executive branch is heard.",Not applicable/other (please comment).
121,"Does a legislative committee (or committees) hold public hearings on the individual budgets of central government administrative units (i.e., ministries, departments, and agencies) in which testimony from the public is heard?","Yes, extensive public hearings are held on the budgets of administrative units in which testimony from the public is heard.","Yes, public hearings are held, covering key administrative units, in which testimony from the public is heard.","Yes, a limited number of public hearings are held in which testimony from the public is heard.","No, public hearings are not held on the budgets of administrative units in which testimony from the public is heard.",Not applicable/other (please comment).
122,Do the legislative committees that hold public hearings release reports to the public on these hearings?,"Yes, the committees release very informative reports, which include all written and spoken testimony presented at the hearings.","Yes, the committees release reports, but some details are excluded.","Yes, the committees release reports, but they are not very informative."," No, the committees do not release reports, or do not hold public hearings.",Not applicable/other (please comment).
123,Does the supreme audit institution (SAI) maintain formal mechanisms through which the public can participate in the audit process?," Yes, the SAI has established accessible mechanisms for public engagement through which the public can assist in formulating its audit program (by identifying the agencies, programs, or projects that should be audited) and can participate in audit investigations (as respondents, witnesses, etc.). "," Yes, the SAI has established accessible mechanisms for public engagement through which the public can assist in formulating its audit program (by identifying the agencies, programs, or projects that should be audited) or can participate in audit investigations (as respondents, witnesses, etc.), but the SAI has not established mechanisms that enable the public to participate in both processes. ","Yes, the SAI has established some mechanisms for public engagement through which the public can assist in formulating its audit program (by identifying the agencies, programs, or projects that should be audited) and/or participate in audit investigations (as respondents, witnesses, etc.), but these mechanisms are not accessible in practice to a majority of the public. "," No, the SAI does not maintain any formal mechanisms of communication with the public. ", Not applicable.
124,Does the SAI maintain any communication with the public regarding its audit reports beyond simply making these reports publicly available? ,"Yes, in addition to publishing audit reports, the SAI maintains other mechanisms of communication to make the public aware of audit findings (such as maintaining an office that regularly conducts outreach activities to publicize previously released audit findings). ","No, the SAI does not maintain any formal mechanisms of communication with the public beyond publishing audit reports. ", Not applicable/other (please comment).,,
125,"Does the supreme audit institution (SAI) provide formal, detailed feedback to the public on how their inputs have been used to determine its audit program or in audit reports?","Yes, the SAI issues extensive, detailed reports on the inputs it received from the public through public consultations and provides feedback on how the SAI has used these inputs to develop its audit program or its audit reports. "," Yes, the SAI issues reports on the inputs it received from the public through public consultations and provides limited feedback on how the SAI has used these inputs to develop its audit program or its audit reports. ","Yes, the SAI issues reports on the inputs it received from the public through public consultations, but these reports provide no feedback on how the SAI has used these inputs to develop its audit program or its audit reports. ","No, the SAI does not issue reports on the inputs it received from the public through public consultations or provide any feedback on how the SAI has used these inputs to develop its audit program or its audit reports. ",Not applicable/other (please comment).
